Method,VMs,Makespan,Migration_Cost,Risk_Probability,Utilization_Cost,Load_Imbalance
SMA,10,943.988,7048.24,0.370364,48123.344,287.789
SMA,20,638.012,8017.64,0.370364,72598.462,180.608
SMA,30,506.737,7214.163,0.370364,68792.913,144.644
SMA,40,395.82,9327.606,0.370364,68278.245,104.02
SMA,50,291.986,9752.519,0.370364,68117.645,85.635
SLnO,10,1030.329,6801.322,0.370364,48409.116,267.194
SLnO,20,524.714,8600.777,0.370364,69655.742,156.023
SLnO,30,437.032,7997.489,0.370364,68468.54,110.731
SLnO,40,378.544,10164.59,0.370364,72290.128,98.643
SLnO,50,344.049,9524.976,0.370364,64556.941,97.864
FBIO,10,1135.449,5851.731,0.370364,50871.178,354.472
FBIO,20,498.856,7861.129,0.370364,67474.672,150.376
FBIO,30,515.074,7711.583,0.370364,64098.065,143.852
FBIO,40,473.599,9452.648,0.370364,66365.968,118.012
FBIO,50,499.223,9025.41,0.370364,60543.274,111.544
POA,10,881.424,8148.196,0.370364,47117.384,235.258
POA,20,566.573,8860.067,0.370364,67975.191,164.738
POA,30,431.432,8327.144,0.370364,65249.09,117.74
POA,40,492.241,9762.589,0.370364,69095.05,131.828
POA,50,333.193,10514.4,0.370364,67914.405,79.95
WOA,10,870.947,6972.924,0.370364,51461.782,270.059
WOA,20,565.765,7609.629,0.370364,67657.025,149.435
WOA,30,476.315,7125.586,0.370364,65233.903,125.003
WOA,40,494.882,8746.527,0.370364,67834.493,120.78
WOA,50,391.583,8947.875,0.370364,61839.215,98.375
PCGWO,10,909.961,6309.155,0.370364,55747.697,283.75
PCGWO,20,685.175,7160.478,0.370364,70514.531,200.364
PCGWO,30,418.558,6761.934,0.370364,68004.077,130.2
PCGWO,40,465.983,8657.134,0.370364,72730.479,126.08
PCGWO,50,350.706,9162.424,0.370364,62925.25,94.809
BUJSO,10,842.463,6215.731,0.370364,55229.523,288.673
BUJSO,20,610.117,6982.493,0.370364,73973.453,170.006
BUJSO,30,456.317,6632.302,0.370364,66175.274,141.31
BUJSO,40,424.596,7529.19,0.370364,71283.597,123.624
BUJSO,50,329.613,7795.022,0.370364,63712.854,106.752
EPR-BUJSO,10,839.473,6109.813,0.370364,55479.227,256.314
EPR-BUJSO,20,469.186,6784.518,0.370364,73525.244,129.892
EPR-BUJSO,30,361.295,6185.563,0.370364,68006.419,92.758
EPR-BUJSO,40,338.096,7982.765,0.370364,69346.273,89.838
EPR-BUJSO,50,273.192,8487.567,0.370364,67128.359,66.177
